c_cmax,D_SI,D_wh_SI
0.47835448167807265,1.5038860184186224e-15,1.5207524939232726e-15
0.47571602785248535,1.5099948263645215e-15,1.5278449949628909e-15
0.47307766234046744,1.5135755910983542e-15,1.5326009298155317e-15
0.4704393660174309,1.52521771804044e-15,1.542409550736004e-15
0.4678009579151609,1.5443875013220014e-15,1.5621206549780976e-15
0.4651625874114812,1.5516752303354874e-15,1.5720231383006002e-15
0.4625241147209878,1.5767916841777042e-15,1.5969472739773714e-15
0.45988580543708585,1.5898186844059415e-15,1.6119615172685117e-15
0.45724743775245624,1.6109047344578438e-15,1.6320013590585348e-15
0.4546091562787905,1.6397766635050705e-15,1.6646931425154038e-15
0.45197087490688703,1.6563620433538613e-15,1.6796147612550095e-15
0.4493325459068183,1.6814070623866801e-15,1.7072039762224637e-15
0.446694122093309,1.7146226973859453e-15,1.7423699578700426e-15
0.44405589751457303,1.734614559259609e-15,1.7646350523135286e-15
0.4414175813450007,1.7635144203502642e-15,1.794355431383474e-15
0.438779168995266,1.7992476440088545e-15,1.8342542254718806e-15
0.43614080190608173,1.8230514492685576e-15,1.86100110423678e-15
0.4335024549335769,1.844885468707177e-15,1.8847994158759917e-15
0.43086401949751935,1.874996388561817e-15,1.9158927650739024e-15
0.4282256810343963,1.902554137761851e-15,1.9467380224181053e-15
0.42558740954395335,1.9283349930640074e-15,1.9773352292397822e-15
0.4229489949621024,1.9514408648330193e-15,2.0019606349112103e-15
0.4203106397499382,1.963789495512571e-15,2.016060953066192e-15
0.41767222860489406,1.984607212728216e-15,2.0401151321134532e-15
0.41503390406532187,2.0040645727952833e-15,2.0610125887230435e-15
0.4123956192771054,2.002985355536384e-15,2.064334182297723e-15
0.4097572318656641,2.0119526587826494e-15,2.0747482954664037e-15
0.40711901291486385,2.0225438955910726e-15,2.0878059511163074e-15
0.40448080933270203,2.0138948291480014e-15,2.078216903563357e-15
0.40184245385538664,2.007536390411168e-15,2.0715700202576852e-15
0.3992040646258671,1.995655906554744e-15,2.0635803485056523e-15
0.396565754904018,1.978329884849867e-15,2.043508254407967e-15
0.3939274107651931,1.9577994665398858e-15,2.0249370325901868e-15
0.39128904645442164,1.9347134364246244e-15,1.997295571906359e-15
0.38865067867017555,1.9110389290938357e-15,1.9735999145224828e-15
0.38601243907309946,1.8779838833255416e-15,1.9367969939260877e-15
0.3833741001710601,1.83853788595425e-15,1.894476311776647e-15
0.3807357613493346,1.8020825344384516e-15,1.8554090851822703e-15
0.37809741850955336,1.7622898295727734e-15,1.8101421841445903e-15
0.37545903314787954,1.7273599864843037e-15,1.7673097545481292e-15
0.37282059486058083,1.6825096256616297e-15,1.7153542990523936e-15
0.37018228925585706,1.6459441908293708e-15,1.6692936191094022e-15
0.3675439547431534,1.5992328312263567e-15,1.61464408106492e-15
0.364905550247446,1.5696958565306919e-15,1.5737581771129565e-15
0.3622672192567655,1.5396918353309357e-15,1.5296850980625676e-15
0.35962876789153575,1.505134549758153e-15,1.4811979521025467e-15
0.3569904430029103,1.473419306771735e-15,1.4323346120672634e-15
0.3543520479024701,1.4505926986410803e-15,1.3907907487704413e-15
